DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES,Return,MA_20,MA_50,Target
2025-08-12,3041.0,3096.4,3026.9,3040.8,3039.8,3035.4,3057.38,4592.25,2991.6,3358232,10267395734.8,165565,-0.001775848460931373,3098.59,3284.7859999999996,1
2025-08-13,3036.1,3044.4,3028.6,3035.4,3035.0,3036.2,3037.72,4592.25,2991.6,2148166,6525533464.3,117340,0.00026355669763455936,3088.745,3277.8920000000003,0
2025-08-14,3034.0,3055.9,3019.1,3036.2,3022.5,3022.3,3032.52,4592.25,2991.6,3342174,10135212616.4,194661,-0.004578091034846077,3079.4,3270.9159999999997,0
2025-08-18,3046.5,3049.0,3003.4,3022.3,3013.0,3011.2,3015.34,4592.25,2991.6,2945609,8882005616.6,137367,-0.0036726995996427814,3070.465,3263.456,1
2025-08-19,3011.2,3025.0,3011.1,3011.2,3018.0,3016.2,3016.58,4592.25,2991.6,2650784,7996291836.9,119303,0.0016604675876727981,3063.365,3255.3419999999996,1
2025-08-20,3010.9,3103.4,3010.9,3016.2,3094.8,3098.6,3078.21,4592.25,2991.6,4952358,15244401986.4,190110,0.027319143292885206,3060.315,3248.0559999999996,1
2025-08-21,3130.0,3130.0,3083.1,3098.6,3100.0,3102.6,3107.84,4592.25,2991.6,3230726,10040586025.7,119697,0.0012909055702574612,3056.4900000000002,3240.67,0
2025-08-22,3086.0,3095.7,3050.0,3102.6,3054.7,3054.0,3068.45,4592.25,2991.6,1593791,4890462450.3,82740,-0.015664281570295868,3051.79,3233.066,1
2025-08-25,3087.3,3152.0,3077.1,3054.0,3142.1,3140.6,3133.79,4592.25,2991.6,3448370,10806464376.7,200973,0.028356254092992694,3052.0299999999997,3226.9640000000004,1
2025-08-26,3129.0,3162.0,3120.0,3140.6,3157.0,3157.2,3152.41,4592.25,2991.6,5522097,17407935331.0,173962,0.005285614213844436,3055.925,3220.1819999999993,0
2025-08-28,3145.0,3146.5,3086.5,3157.2,3098.0,3093.7,3110.39,4592.25,2991.6,3116051,9692121881.3,204600,-0.020112758140124143,3057.8100000000004,3211.75,0
2025-08-29,3093.0,3115.0,3077.2,3093.7,3083.8,3084.7,3093.86,4592.25,2991.6,2271789,7028604709.3,109782,-0.002909137925461436,3059.3650000000002,3204.416,1
2025-09-01,3090.0,3131.1,3090.0,3084.7,3111.0,3112.6,3118.12,4588.0,2991.6,1246862,3887860373.5,85857,0.009044639673225996,3063.1549999999997,3198.188,0
2025-09-02,3121.1,3155.0,3103.1,3112.6,3112.0,3111.5,3125.54,4588.0,2991.6,2185229,6830018367.9,154171,-0.0003534023003276543,3068.58,3191.7039999999997,0
2025-09-03,3129.9,3141.9,3088.0,3111.5,3100.0,3097.5,3102.69,4588.0,2991.6,1799774,5584147665.6,106698,-0.004499437570303688,3069.7349999999997,3185.7819999999997,0
